service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
345,1,0,0,0,0,0,0,2026-06-23,2026-09-21
346,0,0,0,0,1,0,0,2026-06-23,2026-09-21
347,0,0,0,0,1,0,0,2026-06-23,2026-09-21
348,0,0,0,0,0,1,0,2026-06-23,2026-09-21
349,0,0,0,0,0,1,0,2026-06-23,2026-09-21
350,1,0,1,0,1,0,0,2026-06-23,2026-09-21
351,1,0,1,0,1,0,0,2026-06-23,2026-09-21
352,1,1,1,1,1,0,0,2026-06-23,2026-09-21
353,1,1,1,1,1,0,0,2026-06-23,2026-09-21
357,1,1,1,1,1,0,0,2026-06-23,2026-09-21
358,1,1,1,1,1,0,0,2026-06-23,2026-09-21
359,1,1,1,1,1,0,0,2026-06-23,2026-09-21
360,1,1,1,1,1,0,0,2026-06-23,2026-09-21
361,1,1,1,1,1,0,0,2026-06-23,2026-09-21
362,1,1,1,1,1,0,0,2026-06-23,2026-09-21
363,0,0,0,0,1,0,0,2026-06-23,2026-09-21
364,0,0,0,0,1,0,0,2026-06-23,2026-09-21
365,0,0,0,0,1,0,0,2026-06-23,2026-09-21
366,0,0,0,0,1,0,0,2026-06-23,2026-09-21
367,0,0,0,0,1,0,0,2026-06-23,2026-09-21
368,0,0,0,0,1,0,0,2026-06-23,2026-09-21
369,0,0,0,0,0,1,0,2026-06-23,2026-09-21
370,0,0,0,0,0,1,0,2026-06-23,2026-09-21
371,0,0,0,0,0,1,0,2026-06-23,2026-09-21
372,0,0,0,0,0,1,0,2026-06-23,2026-09-21
373,0,0,0,0,0,1,0,2026-06-23,2026-09-21
374,0,0,0,0,0,1,0,2026-06-23,2026-09-21
375,0,0,0,0,0,0,1,2026-06-23,2026-09-21
376,0,0,0,0,0,0,1,2026-06-23,2026-09-21
377,0,0,0,0,0,0,1,2026-06-23,2026-09-21
378,0,0,0,0,0,0,1,2026-06-23,2026-09-21
379,0,0,0,0,0,0,1,2026-06-23,2026-09-21
380,0,0,0,0,0,0,1,2026-06-23,2026-09-21
400,0,0,0,0,0,1,0,2026-06-23,2026-09-21
404,0,0,0,0,0,1,0,2026-06-23,2026-09-21
413,0,0,0,1,0,0,0,2026-06-23,2026-09-21
414,1,0,1,0,1,0,0,2026-06-23,2026-09-21
415,1,0,1,0,1,0,0,2026-06-23,2026-09-21
