location_type,parent_station,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,supported_modes,iptiscode,_has_coordinates
0,,16227,16227,Light St Before Alexander Dr,Alexander Dr / Light St,-31.8837993864,115.874250507,2,Bus,,True
0,,16228,16228,Blackmore Av After Nelligan Av,Blackmore Av / Nelligan Av,-31.8412227777778,115.831284444444,2,Bus,,True
0,,16230,16230,Blackmore Av After Beach Rd,,-31.8440666666667,115.830637222222,2,Bus,,True
0,,16232,16232,Blackmore Av After Kelly Rd,Blackmore Av / Nelligan Av,-31.8412088888889,115.831132777778,2,Bus,,True
0,,16233,16233,Blackmore Av Before Templeton Cr,,-31.8387688888889,115.829592777778,2,Bus,,True
0,,16244,16244,Hainsworth Av After Winterton Wy,,-31.8413969944,115.847084136,2,Bus,,True
0,,16245,16245,Hainsworth Av After Montrose Av,,-31.8447205548,115.848852761,2,Bus,,True
0,,16246,16246,Hainsworth Av Before Beach Rd,,-31.8475625713,115.849026898,2,Bus,,True
0,,16247,16247,Hainsworth Av After Beach Rd,,-31.8478761805,115.84889726,2,Bus,,True
0,,16248,16248,Hainsworth Av After Salcott Rd,,-31.8449815674,115.848807473,2,Bus,,True
0,,16249,16249,Hainsworth Av After Salcott Rd,,-31.8417515375,115.847156798,2,Bus,,True
0,,16250,16250,Beach Rd After Alexander Dr,,-31.8500833482,115.874434808,2,Bus;School Bus,,True
0,,16254,16254,Beach Rd After Hainsworth Av,,-31.8487611111111,115.847451111111,2,Bus,,True
0,,16255,16255,Beach Rd After Blackmore Av,,-31.8425790602,115.826194425,2,Bus,,True
0,,16256,16256,Beach Rd After Harray St,,-31.8440933333333,115.818369444444,2,Bus,,True
0,,16257,16257,Beach Rd Before Erindale Rd,,-31.8451531532,115.814913628,2,Bus,,True
0,,16258,16258,Beach Rd - Warwick Grove Shopping Ctr,Warwick Grove Shop Ctr,-31.8456998232,115.810278238,2,Bus,,True
0,,16259,16259,Beach Rd After Glendale Av,,-31.8460870423,115.805893857,2,Bus,,True
0,,16261,16261,Beach Rd After Belvedere Rd,,-31.846117137,115.802045834,2,Bus,,True
0,,16262,16262,Beach Rd After Duffy Rd,,-31.8460625062,115.794450679,2,Bus,,True
0,,16263,16263,Beach Rd Before Okely Rd,,-31.846060889,115.786657575,2,Bus,,True
0,,16264,16264,Beach Rd After Okely Rd,,-31.8460426364,115.78235954,2,Bus,,True
0,,16265,16265,Beach Rd After Alvaston Dr,,-31.8460301293,115.779162298,2,Bus,,True
0,,16266,16266,Beach Rd After Poynter Dr,,-31.8457856989,115.775590871,2,Bus,,True
0,,16267,16267,Beach Rd After Osmaston Rd,,-31.845228234,115.769487557,2,Bus,,True
0,,16268,16268,Beach Rd After Chessell Dr,,-31.8456272073,115.765939312,2,Bus,,True
0,,16269,16269,Beach Rd After Marmion Av,,-31.8452889742,115.766032281,2,Bus,,True
0,,16270,16270,Beach Rd After Chessell Dr,,-31.8449081286,115.76948069,2,Bus;School Bus,,True
0,,16271,16271,Beach Rd Before Poynter Dr,,-31.8454418645,115.775387376,2,Bus;School Bus,,True
0,,16272,16272,Beach Rd After Poynter Dr,,-31.8457094436,115.779040436,2,Bus;School Bus,,True
0,,16273,16273,Beach Rd After Sequoia Rd,,-31.8457260046,115.783035,2,Bus;School Bus,,True
0,,16274,16274,Beach Rd After Davallia Rd,,-31.8457393627,115.786620185,2,Bus;School Bus,,True
0,,16275,16275,Beach Rd After Sycamore Dr,,-31.8457623901,115.792880957,2,Bus;School Bus,,True
0,,16276,16276,Beach Rd After Springvale Dr,,-31.8458002645,115.802248272,2,Bus,,True
0,,16277,16277,Beach Rd Before Dorchester Av,,-31.8457442607,115.806234555,2,Bus,,True
0,,16278,16278,Beach Rd After Dorchester Av,Warwick Grove Shop Ctr,-31.8451982551,115.811740765,2,Bus,,True
0,,16279,16279,Beach Rd After Erindale Rd,,-31.8448656954,115.814795722,2,Bus,,True
0,,16280,16280,Beach Rd After Lloyd Dr,,-31.8437563791,115.81835768,2,Bus,,True
0,,16282,16282,Beach Rd Before Blackmore Av,,-31.842405,115.826824444444,2,Bus,,True
0,,16283,16283,Beach Rd After Redcliffe Av,,-31.8484332463,115.846956046,2,Bus,,True
0,,16284,16284,Beach Rd After Mirrabooka Av,,-31.8484876045,115.855940228,2,Bus;School Bus,,True
0,,16285,16285,Beach Rd After Torquata Dr,,-31.8485183333333,115.860403333333,2,Bus;School Bus,,True
0,,16286,16286,Beach Rd Before Butterworth Av,,-31.8485320596,115.863057566,2,Bus;School Bus,,True
0,,16287,16287,Beach Rd After Honeywell Bvd,Beach Rd / Honeywell Bvd,-31.8487805555556,115.870053333333,2,Bus;School Bus,,True
0,,16288,16288,Beach Rd Before Alexander Dr,,-31.8498561111111,115.874416111111,2,Bus;School Bus,,True
0,,16290,16290,Beach Rd Before Honeywell Bvd,Beach Rd / Honeywell Bvd,-31.8489572222222,115.869655,2,Bus;School Bus,,True
0,,16291,16291,Treen St After Derrington Cr,,-31.8460221246,115.825399508,2,Bus,,True
